epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.6679,1.19225,4.71948,1.25128,0.44554,0.14551,0.34228,0.19999,1.17326,3.07821,1.20354,0.000471041,0.000471041,0.000471041
2,22.3691,1.17737,3.82979,1.26057,0.71429,0.60183,0.68573,0.43713,1.18511,2.294,1.24455,0.000937995,0.000937995,0.000937995
3,31.6916,1.19287,3.14652,1.22685,0.75899,0.72093,0.83313,0.53727,1.21801,2.41212,1.31428,0.00139552,0.00139552,0.00139552
4,41.0424,1.14789,2.80065,1.21845,0.75837,0.82116,0.8708,0.5541,1.23385,1.92362,1.35052,0.00138656,0.00138656,0.00138656
5,50.347,1.17559,2.61269,1.24297,0.88847,0.87261,0.92658,0.60714,1.18754,1.69866,1.30815,0.00137241,0.00137241,0.00137241
6,59.7086,1.15543,2.29107,1.23148,0.91245,0.77717,0.91596,0.62259,1.14718,1.59695,1.27432,0.00135826,0.00135826,0.00135826
7,68.9783,1.13173,2.04676,1.21693,0.88059,0.86795,0.92343,0.60376,1.16217,1.55822,1.28692,0.00134412,0.00134412,0.00134412
8,78.1242,1.10369,1.88395,1.21405,0.88555,0.87993,0.93371,0.62302,1.14371,1.34578,1.28828,0.00132997,0.00132997,0.00132997
9,87.4084,1.10778,1.7163,1.21577,0.87203,0.90797,0.93879,0.60355,1.1936,1.15193,1.31058,0.00131582,0.00131582,0.00131582
10,96.669,1.10155,1.53744,1.19803,0.91129,0.88179,0.94391,0.63528,1.14237,0.9434,1.23642,0.00130168,0.00130168,0.00130168
11,105.884,1.06182,1.42852,1.17315,0.91188,0.85847,0.93285,0.62395,1.11212,0.94044,1.2439,0.00128753,0.00128753,0.00128753
12,115.248,1.05558,1.39522,1.19894,0.92374,0.93194,0.95551,0.66651,1.07773,0.8226,1.18852,0.00127338,0.00127338,0.00127338
13,124.629,1.02822,1.28178,1.15016,0.96096,0.90954,0.96555,0.64613,1.1367,0.81631,1.24565,0.00125923,0.00125923,0.00125923
14,133.853,1.09464,1.21193,1.18418,0.90865,0.9121,0.94219,0.61,1.16969,0.88138,1.29603,0.00124509,0.00124509,0.00124509
15,143.058,1.0522,1.11501,1.1403,0.91624,0.94142,0.97107,0.65155,1.09236,0.77345,1.19809,0.00123094,0.00123094,0.00123094
16,152.225,1.00211,1.0478,1.1345,0.96053,0.88873,0.97251,0.65789,1.08571,0.77159,1.18337,0.00121679,0.00121679,0.00121679
17,161.434,0.98279,1.03704,1.10788,0.9426,0.90833,0.96996,0.6571,1.05695,0.76715,1.19545,0.00120265,0.00120265,0.00120265
18,170.703,0.97224,0.9444,1.11699,0.92086,0.95363,0.97272,0.67455,1.0279,0.76832,1.15734,0.0011885,0.0011885,0.0011885
19,180.031,1.00092,0.9459,1.13251,0.97411,0.92809,0.97463,0.65164,1.11936,0.76295,1.17309,0.00117435,0.00117435,0.00117435
20,189.337,0.9877,0.87827,1.10177,0.91195,0.94983,0.96804,0.67477,1.0704,0.7488,1.13742,0.00116021,0.00116021,0.00116021
21,198.517,0.92218,0.84126,1.09754,0.93317,0.96433,0.97685,0.68062,1.04066,0.66048,1.17936,0.00114606,0.00114606,0.00114606
22,207.62,0.98445,0.87126,1.13155,0.9857,0.93831,0.98186,0.68066,1.06262,0.64862,1.17417,0.00113191,0.00113191,0.00113191
23,216.883,0.94993,0.84457,1.10291,0.94511,0.94435,0.97306,0.68267,1.05697,0.70141,1.19646,0.00111776,0.00111776,0.00111776
24,226.077,0.94327,0.80871,1.09173,0.96823,0.95967,0.98227,0.68365,1.07235,0.66345,1.21568,0.00110362,0.00110362,0.00110362
25,235.418,0.94717,0.82281,1.11135,0.96745,0.9559,0.97807,0.69903,0.99797,0.63728,1.129,0.00108947,0.00108947,0.00108947
26,244.649,0.9415,0.74628,1.10257,0.98692,0.95981,0.98751,0.69296,1.01014,0.65054,1.1476,0.00107532,0.00107532,0.00107532
27,253.766,0.93597,0.7542,1.09489,0.92565,0.95873,0.97983,0.68529,1.0181,0.64716,1.17199,0.00106118,0.00106118,0.00106118
28,263.725,0.92712,0.72689,1.09901,0.92225,0.96659,0.98122,0.69888,0.97437,0.6223,1.13314,0.00104703,0.00104703,0.00104703
29,273.277,0.91229,0.71703,1.09716,0.97287,0.95596,0.98431,0.70785,1.00614,0.58705,1.12248,0.00103288,0.00103288,0.00103288
30,282.685,0.92542,0.72665,1.07879,0.95531,0.9582,0.97885,0.66321,1.04046,0.64564,1.18439,0.00101873,0.00101873,0.00101873
31,292.121,0.91905,0.73847,1.08106,0.96128,0.94265,0.98115,0.69432,0.99884,0.61877,1.16225,0.00100459,0.00100459,0.00100459
32,301.306,0.88942,0.65607,1.06229,0.98639,0.97158,0.98785,0.7153,0.99492,0.57041,1.12603,0.00099044,0.00099044,0.00099044
33,310.704,0.92475,0.715,1.09986,0.93585,0.97703,0.98611,0.71559,0.96357,0.59043,1.11128,0.000976293,0.000976293,0.000976293
34,320.721,0.87591,0.62903,1.05475,0.97471,0.97043,0.98959,0.70194,1.02569,0.5691,1.17011,0.000962146,0.000962146,0.000962146
35,330.511,0.87786,0.68124,1.07179,0.96795,0.96677,0.98138,0.69083,1.01872,0.59807,1.13888,0.000947999,0.000947999,0.000947999
36,341.812,0.88511,0.65845,1.07163,0.962,0.97371,0.98815,0.70593,0.98019,0.58901,1.12207,0.000933851,0.000933851,0.000933851
37,352.668,0.86631,0.60406,1.05961,0.93364,0.97194,0.98032,0.70331,0.94051,0.58794,1.12809,0.000919704,0.000919704,0.000919704
38,362.876,0.85534,0.62872,1.05659,0.96911,0.96242,0.98541,0.68616,1.04954,0.60354,1.18375,0.000905557,0.000905557,0.000905557
39,372.285,0.86786,0.59354,1.06375,0.97481,0.96236,0.98745,0.71186,0.97547,0.56088,1.14947,0.00089141,0.00089141,0.00089141
40,382.219,0.87462,0.58247,1.05362,0.97074,0.98052,0.98599,0.72781,0.9956,0.53415,1.12331,0.000877263,0.000877263,0.000877263
41,392.903,0.87947,0.58215,1.08357,0.96766,0.9763,0.98739,0.71441,0.9993,0.53127,1.12181,0.000863116,0.000863116,0.000863116
42,403.755,0.85954,0.5614,1.04302,0.98734,0.96591,0.98615,0.72441,0.96823,0.53293,1.12928,0.000848969,0.000848969,0.000848969
43,413.586,0.84382,0.56278,1.0282,0.98774,0.96388,0.98711,0.72463,0.97341,0.54049,1.12965,0.000834822,0.000834822,0.000834822
44,422.799,0.82846,0.57618,1.05369,0.97711,0.967,0.98114,0.71733,0.99358,0.54539,1.11206,0.000820675,0.000820675,0.000820675
45,431.965,0.82299,0.59445,1.04872,0.99641,0.95322,0.98821,0.73122,0.94707,0.5124,1.08691,0.000806528,0.000806528,0.000806528
46,441.1,0.81508,0.54408,1.01182,0.95645,0.9609,0.97337,0.73354,0.95226,0.52963,1.09049,0.00079238,0.00079238,0.00079238
47,450.234,0.84203,0.56429,1.04128,0.95614,0.9703,0.98135,0.72385,0.93244,0.53661,1.10617,0.000778233,0.000778233,0.000778233
48,459.4,0.8248,0.5498,1.02543,0.95746,0.97731,0.98792,0.73907,0.89521,0.52173,1.07764,0.000764086,0.000764086,0.000764086
49,468.759,0.81497,0.58094,1.03047,0.97541,0.98052,0.98803,0.73803,0.92991,0.5324,1.06145,0.000749939,0.000749939,0.000749939
50,477.879,0.79343,0.537,1.00459,0.96318,0.92888,0.97567,0.74723,0.86247,0.5974,1.0512,0.000735792,0.000735792,0.000735792
51,487.027,0.76728,0.52188,1.00806,0.97547,0.94721,0.98404,0.74082,0.86721,0.52261,1.06481,0.000721645,0.000721645,0.000721645
52,496.152,0.82028,0.60225,1.03063,0.97087,0.97648,0.9873,0.74825,0.86207,0.5158,1.04389,0.000707498,0.000707498,0.000707498
53,505.282,0.75788,0.51284,0.99232,0.98235,0.97324,0.98737,0.75714,0.82483,0.4851,1.0255,0.000693351,0.000693351,0.000693351
54,514.412,0.74217,0.53499,0.98557,0.95364,0.98039,0.98362,0.75731,0.8344,0.49629,1.02822,0.000679204,0.000679204,0.000679204
55,523.692,0.72421,0.48528,0.98122,0.96528,0.95312,0.98623,0.76506,0.84512,0.52615,1.04642,0.000665057,0.000665057,0.000665057
56,532.868,0.76205,0.50106,1.00202,0.99285,0.94531,0.98973,0.75981,0.91743,0.48856,1.0579,0.000650909,0.000650909,0.000650909
57,542.005,0.73625,0.51433,0.99947,0.96317,0.96952,0.98784,0.75656,0.86399,0.49751,1.05101,0.000636762,0.000636762,0.000636762
58,551.157,0.73941,0.49856,0.98858,0.95993,0.95732,0.98562,0.75948,0.83635,0.48602,1.04171,0.000622615,0.000622615,0.000622615
59,560.296,0.71738,0.46679,0.96947,0.94432,0.97005,0.97958,0.75971,0.8349,0.49433,1.02801,0.000608468,0.000608468,0.000608468
60,569.522,0.71144,0.46641,0.98338,0.97008,0.97317,0.98463,0.75522,0.85477,0.50616,1.04269,0.000594321,0.000594321,0.000594321
61,578.751,0.71873,0.49971,0.98591,0.97183,0.97194,0.98842,0.73996,0.91786,0.49048,1.07231,0.000580174,0.000580174,0.000580174
62,588.236,0.71958,0.46794,0.98552,0.95487,0.97385,0.98399,0.75061,0.85464,0.48578,1.06162,0.000566027,0.000566027,0.000566027
63,597.505,0.68663,0.46043,0.96496,0.95447,0.9868,0.98709,0.76405,0.8253,0.47309,1.04573,0.00055188,0.00055188,0.00055188
64,606.671,0.71924,0.46588,0.96722,0.9754,0.98492,0.99027,0.76718,0.83065,0.46836,1.05017,0.000537733,0.000537733,0.000537733
65,615.816,0.70709,0.50101,0.97721,0.95426,0.96536,0.9841,0.75719,0.82733,0.48778,1.01485,0.000523586,0.000523586,0.000523586
66,625.006,0.71791,0.49759,0.98721,0.96032,0.97336,0.98281,0.76373,0.82295,0.49733,1.03554,0.000509438,0.000509438,0.000509438
67,634.215,0.69476,0.46427,0.97462,0.93692,0.97558,0.98354,0.77477,0.77237,0.4843,1.00253,0.000495291,0.000495291,0.000495291
68,643.447,0.6784,0.45244,0.96591,0.98794,0.95946,0.97932,0.78051,0.77084,0.46803,1.00938,0.000481144,0.000481144,0.000481144
69,652.603,0.68469,0.45507,0.97276,0.9867,0.97694,0.98641,0.7884,0.7677,0.45131,0.99519,0.000466997,0.000466997,0.000466997
70,661.778,0.65272,0.42589,0.95191,0.98493,0.9679,0.98571,0.78171,0.777,0.44933,1.01073,0.00045285,0.00045285,0.00045285
71,670.954,0.68254,0.44975,0.96024,0.9563,0.96514,0.98,0.78198,0.7876,0.46864,1.0162,0.000438703,0.000438703,0.000438703
72,680.165,0.63749,0.41749,0.93507,0.97239,0.97772,0.98452,0.79305,0.78955,0.45613,1.01026,0.000424556,0.000424556,0.000424556
73,689.428,0.64262,0.43123,0.93959,0.98723,0.96523,0.98323,0.77057,0.79745,0.44587,1.01498,0.000410409,0.000410409,0.000410409
74,698.795,0.65174,0.46839,0.94921,0.99039,0.97786,0.98476,0.76948,0.79623,0.45363,1.01989,0.000396262,0.000396262,0.000396262
75,709.129,0.62353,0.4088,0.93212,0.9562,0.96504,0.98337,0.77616,0.79393,0.45365,1.02643,0.000382115,0.000382115,0.000382115
76,719.676,0.62623,0.40959,0.93758,0.97679,0.96528,0.98462,0.78589,0.78085,0.45068,1.02266,0.000367967,0.000367967,0.000367967
77,730.909,0.65648,0.45591,0.94828,0.9911,0.97276,0.98653,0.77772,0.79271,0.43871,1.03402,0.00035382,0.00035382,0.00035382
78,741.833,0.60854,0.42051,0.92938,0.97019,0.97037,0.98769,0.77819,0.78853,0.4391,1.02018,0.000339673,0.000339673,0.000339673
79,752.281,0.61266,0.41347,0.92459,0.96474,0.97189,0.98602,0.78885,0.78604,0.44144,1.01455,0.000325526,0.000325526,0.000325526
80,761.578,0.61126,0.41074,0.94309,0.97459,0.9601,0.98891,0.78975,0.75755,0.43803,1.00655,0.000311379,0.000311379,0.000311379
81,770.804,0.60619,0.40056,0.92763,0.97671,0.96744,0.98375,0.79001,0.74646,0.42803,0.99639,0.000297232,0.000297232,0.000297232
82,779.876,0.58438,0.38912,0.9182,0.97396,0.97385,0.98422,0.79235,0.73715,0.42525,0.99223,0.000283085,0.000283085,0.000283085
83,788.914,0.59529,0.38592,0.90718,0.98166,0.96156,0.98886,0.80956,0.72668,0.42981,0.98436,0.000268938,0.000268938,0.000268938
84,798.036,0.58381,0.39827,0.92948,0.95855,0.96297,0.98619,0.80452,0.7245,0.42347,0.98031,0.000254791,0.000254791,0.000254791
85,807.23,0.58299,0.38826,0.91104,0.94677,0.95506,0.98387,0.80187,0.72252,0.44285,0.98638,0.000240644,0.000240644,0.000240644
86,816.318,0.57545,0.4017,0.89601,0.95007,0.96002,0.98485,0.80112,0.72951,0.44627,0.97762,0.000226497,0.000226497,0.000226497
87,825.637,0.57479,0.40738,0.90919,0.96519,0.97262,0.98629,0.80529,0.72716,0.44986,0.98179,0.000212349,0.000212349,0.000212349
88,834.678,0.5413,0.38384,0.89252,0.96053,0.96473,0.98314,0.80071,0.71964,0.44426,0.98415,0.000198202,0.000198202,0.000198202
89,843.769,0.58105,0.40801,0.90671,0.97345,0.97628,0.98194,0.80365,0.71928,0.42941,0.98045,0.000184055,0.000184055,0.000184055
90,852.974,0.56301,0.42336,0.91161,0.98427,0.97557,0.9871,0.81803,0.70005,0.40572,0.9663,0.000169908,0.000169908,0.000169908
91,909.489,0.54775,0.3915,0.89783,0.9879,0.97385,0.98706,0.81465,0.70348,0.40847,0.96863,0.000155761,0.000155761,0.000155761
92,918.891,0.54026,0.36907,0.90266,0.98862,0.97813,0.98976,0.81386,0.706,0.40563,0.97988,0.000141614,0.000141614,0.000141614
93,928.286,0.53223,0.36936,0.89166,0.99544,0.97485,0.98604,0.81143,0.71853,0.40831,0.97959,0.000127467,0.000127467,0.000127467
94,937.447,0.51212,0.35303,0.87723,0.98632,0.95815,0.98458,0.8188,0.71781,0.40792,0.98103,0.00011332,0.00011332,0.00011332
95,946.659,0.53645,0.37797,0.89912,0.97611,0.9681,0.98195,0.81611,0.70844,0.42007,0.97648,9.91726e-05,9.91726e-05,9.91726e-05
96,955.784,0.56977,0.44751,0.91846,0.97781,0.97171,0.98265,0.8161,0.70489,0.41335,0.97477,8.50255e-05,8.50255e-05,8.50255e-05
97,964.912,0.50989,0.37435,0.88311,0.97717,0.97363,0.98261,0.80601,0.7138,0.4079,0.9817,7.08784e-05,7.08784e-05,7.08784e-05
98,974.017,0.52782,0.37665,0.90981,0.9819,0.97385,0.98334,0.81087,0.70502,0.40266,0.96984,5.67313e-05,5.67313e-05,5.67313e-05
99,983.211,0.49618,0.37172,0.875,0.97652,0.98039,0.98384,0.80797,0.70802,0.40558,0.97109,4.25842e-05,4.25842e-05,4.25842e-05
100,992.336,0.53015,0.35835,0.90081,0.97909,0.98034,0.9844,0.81456,0.70651,0.40406,0.97409,2.84371e-05,2.84371e-05,2.84371e-05
