epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.09238,1.16617,3.10907,1.3128,0.00569,1,0.33703,0.24493,0.89096,2.94001,1.0377,0.00027151,0.00027151,0.00027151
2,12.3223,1.04711,2.08753,1.20511,0.00682,1,0.56011,0.3745,0.97179,2.87574,1.07239,0.000546275,0.000546275,0.000546275
3,16.1494,1.0118,1.55328,1.1759,1,0.17366,0.73809,0.51628,1.02117,2.5783,1.12289,0.000809723,0.000809723,0.000809723
4,19.9044,1.0203,1.38474,1.15239,0.92549,0.38592,0.72583,0.48431,1.06604,2.33479,1.19131,0.00106185,0.00106185,0.00106185
5,23.8537,0.98598,1.22592,1.12668,0.93314,0.73998,0.91246,0.63264,1.03606,1.6464,1.15221,0.00130266,0.00130266,0.00130266
6,27.5627,0.93698,1.10358,1.11347,0.89244,0.90065,0.92956,0.62461,1.08235,1.21971,1.23484,0.00128753,0.00128753,0.00128753
7,31.3216,0.92963,1.03942,1.08683,0.86692,0.82456,0.92649,0.68352,0.97099,1.26372,1.128,0.00125923,0.00125923,0.00125923
8,35.0667,0.93739,1.03347,1.10372,0.84325,0.73402,0.93964,0.66071,0.93735,1.28133,1.14985,0.00123094,0.00123094,0.00123094
9,38.894,0.91768,0.96695,1.09732,0.87012,0.65679,0.93833,0.70588,0.95376,1.2578,1.08969,0.00120265,0.00120265,0.00120265
10,42.6331,0.9238,0.95706,1.08704,0.78603,0.88092,0.95195,0.69926,0.96034,1.08102,1.09772,0.00117435,0.00117435,0.00117435
11,46.3061,0.8857,0.91603,1.06575,0.93974,0.99342,0.99258,0.7836,0.86916,0.81795,1.03475,0.00114606,0.00114606,0.00114606
12,50.0352,0.90945,0.8934,1.0889,0.92035,0.96556,0.9876,0.78127,0.83817,0.87653,0.99807,0.00111776,0.00111776,0.00111776
13,53.902,0.84062,0.81885,1.04921,0.89954,0.98932,0.98488,0.77626,0.82413,0.87646,1.0126,0.00108947,0.00108947,0.00108947
14,57.7093,0.81983,0.78831,1.03094,0.96075,0.95224,0.99366,0.76792,0.85608,0.80241,1.02034,0.00106118,0.00106118,0.00106118
15,61.4675,0.79952,0.74564,1.03229,0.99032,0.99943,0.995,0.80882,0.7988,0.62661,1.00967,0.00103288,0.00103288,0.00103288
16,65.2933,0.79453,0.73735,1.04831,0.97274,0.98783,0.99298,0.80157,0.78127,0.64795,1.00408,0.00100459,0.00100459,0.00100459
17,69.016,0.83236,0.74981,1.04375,0.99439,0.97199,0.99419,0.79079,0.80146,0.63211,1.02469,0.000976293,0.000976293,0.000976293
18,72.6569,0.8007,0.72969,1.03557,0.96983,0.99135,0.99373,0.82502,0.69564,0.60809,0.948,0.000947999,0.000947999,0.000947999
